Period,January 1 2020 to December 31 2020,
,,
Time,CA Eco-Multi 1 -Davis CA,Total counts on 3rd Street
Jan 9th, 2020 02:15,0
Jan 9th, 2020 02:30,0
Jan 9th, 2020 02:45,0
Jan 9th, 2020 03:00,0
Jan 9th, 2020 03:15,3
Jan 9th, 2020 03:30,0
Jan 9th, 2020 03:45,0
Jan 9th, 2020 04:00,0
Jan 9th, 2020 04:15,0
Jan 9th, 2020 04:30,0
Jan 9th, 2020 04:45,0
Jan 9th, 2020 05:00,0
Jan 9th, 2020 05:15,0
Jan 9th, 2020 05:30,2
Jan 9th, 2020 05:45,0
Jan 9th, 2020 06:00,0
Jan 9th, 2020 06:15,0
Jan 9th, 2020 06:30,1
Jan 9th, 2020 06:45,1
Jan 9th, 2020 07:00,4
Jan 9th, 2020 07:15,5
Jan 9th, 2020 07:30,13
Jan 9th, 2020 07:45,22
Jan 9th, 2020 08:00,64
Jan 9th, 2020 08:15,56
Jan 9th, 2020 08:30,14
Jan 9th, 2020 08:45,9
Jan 9th, 2020 09:00,15
Jan 9th, 2020 09:15,7
Jan 9th, 2020 09:30,11
Jan 9th, 2020 09:45,5
Jan 9th, 2020 10:00,6
Jan 9th, 2020 10:15,1
Jan 9th, 2020 10:30,4
Jan 9th, 2020 10:45,5
Jan 9th, 2020 11:00,0
Jan 9th, 2020 11:15,3
Jan 9th, 2020 11:30,3
Jan 9th, 2020 11:45,5
Jan 9th, 2020 12:00,2
Jan 9th, 2020 12:15,3
Jan 9th, 2020 12:30,5
Jan 9th, 2020 12:45,1
Jan 9th, 2020 13:00,3
Jan 9th, 2020 13:15,6
Jan 9th, 2020 13:30,2
Jan 9th, 2020 13:45,3
Jan 9th, 2020 14:00,29
Jan 9th, 2020 14:15,15
Jan 9th, 2020 14:30,23
Jan 9th, 2020 14:45,11
Jan 9th, 2020 15:00,16
Jan 9th, 2020 15:15,17
Jan 9th, 2020 15:30,63
Jan 9th, 2020 15:45,22
Jan 9th, 2020 16:00,5
Jan 9th, 2020 16:15,8
Jan 9th, 2020 16:30,11
Jan 9th, 2020 16:45,14
Jan 9th, 2020 17:00,16
Jan 9th, 2020 17:15,19
Jan 9th, 2020 17:30,14
Jan 9th, 2020 17:45,4
Jan 9th, 2020 18:00,10
Jan 9th, 2020 18:15,4
Jan 9th, 2020 18:30,6
Jan 9th, 2020 18:45,8
Jan 9th, 2020 19:00,3
Jan 9th, 2020 19:15,6
Jan 9th, 2020 19:30,4
Jan 9th, 2020 19:45,5
Jan 9th, 2020 20:00,4
Jan 9th, 2020 20:15,3
Jan 9th, 2020 20:30,2
Jan 9th, 2020 20:45,2
Jan 9th, 2020 21:00,1
Jan 9th, 2020 21:15,2
Jan 9th, 2020 21:30,0
Jan 9th, 2020 21:45,3
Jan 9th, 2020 22:00,1
Jan 9th, 2020 22:15,1
Jan 9th, 2020 22:30,0
Jan 9th, 2020 22:45,1
Jan 9th, 2020 23:00,0
Jan 9th, 2020 23:15,0
Jan 9th, 2020 23:30,0
Jan 9th, 2020 23:45,0
Jan 10th, 2020 00:00,0
Jan 10th, 2020 00:15,5
Jan 10th, 2020 00:30,0
Jan 10th, 2020 00:45,2
Jan 10th, 2020 01:00,0
Jan 10th, 2020 01:15,0
Jan 10th, 2020 01:30,1
Jan 10th, 2020 01:45,0
Jan 10th, 2020 02:00,0
Jan 10th, 2020 02:15,0
Jan 10th, 2020 02:30,0
Jan 10th, 2020 02:45,0
Jan 10th, 2020 03:00,1
Jan 10th, 2020 03:15,0
Jan 10th, 2020 03:30,1
Jan 10th, 2020 03:45,0
Jan 10th, 2020 04:00,0
Jan 10th, 2020 04:15,0
Jan 10th, 2020 04:30,1
Jan 10th, 2020 04:45,0
Jan 10th, 2020 05:00,0
Jan 10th, 2020 05:15,1
Jan 10th, 2020 05:30,1
Jan 10th, 2020 05:45,0
Jan 10th, 2020 06:00,0
Jan 10th, 2020 06:15,1
Jan 10th, 2020 06:30,0
Jan 10th, 2020 06:45,3
Jan 10th, 2020 07:00,8
Jan 10th, 2020 07:15,7
Jan 10th, 2020 07:30,20
Jan 10th, 2020 07:45,48
Jan 10th, 2020 08:00,99
Jan 10th, 2020 08:15,45
Jan 10th, 2020 08:30,15
Jan 10th, 2020 08:45,20
Jan 10th, 2020 09:00,9
Jan 10th, 2020 09:15,16
Jan 10th, 2020 09:30,7
Jan 10th, 2020 09:45,9
Jan 10th, 2020 10:00,5
Jan 10th, 2020 10:15,6
Jan 10th, 2020 10:30,7
Jan 10th, 2020 10:45,14
Jan 10th, 2020 11:00,4
Jan 10th, 2020 11:15,9
Jan 10th, 2020 11:30,7
Jan 10th, 2020 11:45,13
Jan 10th, 2020 12:00,5
Jan 10th, 2020 12:15,10
Jan 10th, 2020 12:30,12
Jan 10th, 2020 12:45,8
Jan 10th, 2020 13:00,4
Jan 10th, 2020 13:15,2
Jan 10th, 2020 13:30,11
Jan 10th, 2020 13:45,15
Jan 10th, 2020 14:00,2
Jan 10th, 2020 14:15,13
Jan 10th, 2020 14:30,31
Jan 10th, 2020 14:45,43
Jan 10th, 2020 15:00,22
Jan 10th, 2020 15:15,31
Jan 10th, 2020 15:30,91
Jan 10th, 2020 15:45,28
Jan 10th, 2020 16:00,23
Jan 10th, 2020 16:15,17
Jan 10th, 2020 16:30,13
Jan 10th, 2020 16:45,21
Jan 10th, 2020 17:00,17
Jan 10th, 2020 17:15,17
Jan 10th, 2020 17:30,10
Jan 10th, 2020 17:45,11
Jan 10th, 2020 18:00,9
Jan 10th, 2020 18:15,14
Jan 10th, 2020 18:30,6
Jan 10th, 2020 18:45,4
Jan 10th, 2020 19:00,9
Jan 10th, 2020 19:15,2
Jan 10th, 2020 19:30,2
Jan 10th, 2020 19:45,1
Jan 10th, 2020 20:00,5
Jan 10th, 2020 20:15,0
Jan 10th, 2020 20:30,5
Jan 10th, 2020 20:45,2
Jan 10th, 2020 21:00,4
Jan 10th, 2020 21:15,0
Jan 10th, 2020 21:30,3
Jan 10th, 2020 21:45,2
Jan 10th, 2020 22:00,1
Jan 10th, 2020 22:15,1
Jan 10th, 2020 22:30,2
Jan 10th, 2020 22:45,3
Jan 10th, 2020 23:00,2
Jan 10th, 2020 23:15,0
Jan 10th, 2020 23:30,3
Jan 10th, 2020 23:45,2
Jan 11th, 2020 00:00,1
Jan 11th, 2020 00:15,1
Jan 11th, 2020 00:30,1
Jan 11th, 2020 00:45,1
Jan 11th, 2020 01:00,0
Jan 11th, 2020 01:15,0
Jan 11th, 2020 01:30,0
Jan 11th, 2020 01:45,0
Jan 11th, 2020 02:00,0
Jan 11th, 2020 02:15,0
Jan 11th, 2020 02:30,0
Jan 11th, 2020 02:45,1
Jan 11th, 2020 03:00,1
Jan 11th, 2020 03:15,0
Jan 11th, 2020 03:30,1
Jan 11th, 2020 03:45,1
Jan 11th, 2020 04:00,0
Jan 11th, 2020 04:15,0
Jan 11th, 2020 04:30,0
Jan 11th, 2020 04:45,1
Jan 11th, 2020 05:00,0
Jan 11th, 2020 05:15,0
Jan 11th, 2020 05:30,0
Jan 11th, 2020 05:45,0
Jan 11th, 2020 06:00,0
Jan 11th, 2020 06:15,0
Jan 11th, 2020 06:30,0
Jan 11th, 2020 06:45,0
Jan 11th, 2020 07:00,1
Jan 11th, 2020 07:15,3
Jan 11th, 2020 07:30,1
Jan 11th, 2020 07:45,7
Jan 11th, 2020 08:00,3
Jan 11th, 2020 08:15,0
Jan 11th, 2020 08:30,2
Jan 11th, 2020 08:45,4
Jan 11th, 2020 09:00,3
Jan 11th, 2020 09:15,3
Jan 11th, 2020 09:30,5
Jan 11th, 2020 09:45,9
Jan 11th, 2020 10:00,9
Jan 11th, 2020 10:15,9
Jan 11th, 2020 10:30,8
Jan 11th, 2020 10:45,12
Jan 11th, 2020 11:00,13
Jan 11th, 2020 11:15,6
Jan 11th, 2020 11:30,18
Jan 11th, 2020 11:45,7
Jan 11th, 2020 12:00,11
Jan 11th, 2020 12:15,11
Jan 11th, 2020 12:30,12
Jan 11th, 2020 12:45,3
Jan 11th, 2020 13:00,15
Jan 11th, 2020 13:15,17
Jan 11th, 2020 13:30,10
Jan 11th, 2020 13:45,10
Jan 11th, 2020 14:00,17
Jan 11th, 2020 14:15,15
Jan 11th, 2020 14:30,9
Jan 11th, 2020 14:45,17
Jan 11th, 2020 15:00,4
Jan 11th, 2020 15:15,15
Jan 11th, 2020 15:30,14
Jan 11th, 2020 15:45,11
Jan 11th, 2020 16:00,15
Jan 11th, 2020 16:15,9
Jan 11th, 2020 16:30,10
Jan 11th, 2020 16:45,11
Jan 11th, 2020 17:00,8
Jan 11th, 2020 17:15,12
Jan 11th, 2020 17:30,6
Jan 11th, 2020 17:45,3
Jan 11th, 2020 18:00,4
Jan 11th, 2020 18:15,3
Jan 11th, 2020 18:30,1
Jan 11th, 2020 18:45,1
Jan 11th, 2020 19:00,1
Jan 11th, 2020 19:15,2
Jan 11th, 2020 19:30,1
Jan 11th, 2020 19:45,0
Jan 11th, 2020 20:00,6
Jan 11th, 2020 20:15,2
Jan 11th, 2020 20:30,2
Jan 11th, 2020 20:45,2
Jan 11th, 2020 21:00,0
Jan 11th, 2020 21:15,1
Jan 11th, 2020 21:30,1
Jan 11th, 2020 21:45,0
Jan 11th, 2020 22:00,0
Jan 11th, 2020 22:15,0
Jan 11th, 2020 22:30,2
Jan 11th, 2020 22:45,0
Jan 11th, 2020 23:00,2
Jan 11th, 2020 23:15,2
Jan 11th, 2020 23:30,2
Jan 11th, 2020 23:45,0
Jan 12th, 2020 00:00,1
Jan 12th, 2020 00:15,0
Jan 12th, 2020 00:30,1
Jan 12th, 2020 00:45,1
Jan 12th, 2020 01:00,0
Jan 12th, 2020 01:15,1
Jan 12th, 2020 01:30,0
Jan 12th, 2020 01:45,0
Jan 12th, 2020 02:00,0
Jan 12th, 2020 02:15,1
Jan 12th, 2020 02:30,0
Jan 12th, 2020 02:45,0
Jan 12th, 2020 03:00,0
Jan 12th, 2020 03:15,0
Jan 12th, 2020 03:30,0
Jan 12th, 2020 03:45,0
Jan 12th, 2020 04:00,0
Jan 12th, 2020 04:15,0
Jan 12th, 2020 04:30,0
Jan 12th, 2020 04:45,1
Jan 12th, 2020 05:00,0
Jan 12th, 2020 05:15,0
Jan 12th, 2020 05:30,0
Jan 12th, 2020 05:45,1
Jan 12th, 2020 06:00,0
Jan 12th, 2020 06:15,3
Jan 12th, 2020 06:30,0
Jan 12th, 2020 06:45,0
Jan 12th, 2020 07:00,3
Jan 12th, 2020 07:15,0
Jan 12th, 2020 07:30,1
Jan 12th, 2020 07:45,1
Jan 12th, 2020 08:00,3
Jan 12th, 2020 08:15,1
Jan 12th, 2020 08:30,3
Jan 12th, 2020 08:45,3
Jan 12th, 2020 09:00,1
Jan 12th, 2020 09:15,3
Jan 12th, 2020 09:30,3
Jan 12th, 2020 09:45,3
Jan 12th, 2020 10:00,3
Jan 12th, 2020 10:15,0
Jan 12th, 2020 10:30,9
Jan 12th, 2020 10:45,8
Jan 12th, 2020 11:00,3
Jan 12th, 2020 11:15,6
Jan 12th, 2020 11:30,15
Jan 12th, 2020 11:45,8
Jan 12th, 2020 12:00,5
Jan 12th, 2020 12:15,4
Jan 12th, 2020 12:30,8
Jan 12th, 2020 12:45,12
Jan 12th, 2020 13:00,10
Jan 12th, 2020 13:15,5
Jan 12th, 2020 13:30,17
Jan 12th, 2020 13:45,8
Jan 12th, 2020 14:00,9
Jan 12th, 2020 14:15,10
Jan 12th, 2020 14:30,8
Jan 12th, 2020 14:45,10
Jan 12th, 2020 15:00,10
Jan 12th, 2020 15:15,13
Jan 12th, 2020 15:30,13
Jan 12th, 2020 15:45,15
Jan 12th, 2020 16:00,6
Jan 12th, 2020 16:15,9
Jan 12th, 2020 16:30,9
Jan 12th, 2020 16:45,21
Jan 12th, 2020 17:00,9
Jan 12th, 2020 17:15,6
Jan 12th, 2020 17:30,5
Jan 12th, 2020 17:45,4
Jan 12th, 2020 18:00,4
Jan 12th, 2020 18:15,2
Jan 12th, 2020 18:30,2
Jan 12th, 2020 18:45,2
Jan 12th, 2020 19:00,0
Jan 12th, 2020 19:15,1
Jan 12th, 2020 19:30,1
Jan 12th, 2020 19:45,0
Jan 12th, 2020 20:00,0
Jan 12th, 2020 20:15,0
Jan 12th, 2020 20:30,1
Jan 12th, 2020 20:45,2
Jan 12th, 2020 21:00,0
Jan 12th, 2020 21:15,0
Jan 12th, 2020 21:30,2
Jan 12th, 2020 21:45,1
Jan 12th, 2020 22:00,1
Jan 12th, 2020 22:15,1
Jan 12th, 2020 22:30,1
Jan 12th, 2020 22:45,1
Jan 12th, 2020 23:00,0
Jan 12th, 2020 23:15,0
Jan 12th, 2020 23:30,0
Jan 12th, 2020 23:45,0
Jan 13th, 2020 00:00,0
Jan 13th, 2020 00:15,0
Jan 13th, 2020 00:30,0
Jan 13th, 2020 00:45,2
Jan 13th, 2020 01:00,0
Jan 13th, 2020 01:15,0
Jan 13th, 2020 01:30,0
Jan 13th, 2020 01:45,0
Jan 13th, 2020 02:00,0
Jan 13th, 2020 02:15,0
Jan 13th, 2020 02:30,0
Jan 13th, 2020 02:45,0
Jan 13th, 2020 03:00,0
Jan 13th, 2020 03:15,0
Jan 13th, 2020 03:30,1
Jan 13th, 2020 03:45,0
Jan 13th, 2020 04:00,0
Jan 13th, 2020 04:15,0
Jan 13th, 2020 04:30,0
Jan 13th, 2020 04:45,0
Jan 13th, 2020 05:00,1
Jan 13th, 2020 05:15,0
Jan 13th, 2020 05:30,1
Jan 13th, 2020 05:45,0
Jan 13th, 2020 06:00,1
Jan 13th, 2020 06:15,3
Jan 13th, 2020 06:30,3
Jan 13th, 2020 06:45,3
Jan 13th, 2020 07:00,5
Jan 13th, 2020 07:15,4
Jan 13th, 2020 07:30,15
Jan 13th, 2020 07:45,61
Jan 13th, 2020 08:00,101
Jan 13th, 2020 08:15,49
Jan 13th, 2020 08:30,19
Jan 13th, 2020 08:45,16
Jan 13th, 2020 09:00,9
Jan 13th, 2020 09:15,14
Jan 13th, 2020 09:30,8
Jan 13th, 2020 09:45,7
Jan 13th, 2020 10:00,12
Jan 13th, 2020 10:15,7
Jan 13th, 2020 10:30,11
Jan 13th, 2020 10:45,7
Jan 13th, 2020 11:00,5
Jan 13th, 2020 11:15,8
Jan 13th, 2020 11:30,7
Jan 13th, 2020 11:45,8
Jan 13th, 2020 12:00,8
Jan 13th, 2020 12:15,7
Jan 13th, 2020 12:30,2
Jan 13th, 2020 12:45,1
Jan 13th, 2020 13:00,3
Jan 13th, 2020 13:15,5
Jan 13th, 2020 13:30,5
Jan 13th, 2020 13:45,16
Jan 13th, 2020 14:00,12
Jan 13th, 2020 14:15,12
Jan 13th, 2020 14:30,21
Jan 13th, 2020 14:45,42
Jan 13th, 2020 15:00,15
Jan 13th, 2020 15:15,21
Jan 13th, 2020 15:30,85
Jan 13th, 2020 15:45,28
Jan 13th, 2020 16:00,25
Jan 13th, 2020 16:15,15
Jan 13th, 2020 16:30,16
Jan 13th, 2020 16:45,14
Jan 13th, 2020 17:00,10
Jan 13th, 2020 17:15,21
Jan 13th, 2020 17:30,12
Jan 13th, 2020 17:45,17
Jan 13th, 2020 18:00,6
Jan 13th, 2020 18:15,10
Jan 13th, 2020 18:30,10
Jan 13th, 2020 18:45,6
Jan 13th, 2020 19:00,6
Jan 13th, 2020 19:15,2
Jan 13th, 2020 19:30,6
Jan 13th, 2020 19:45,2
Jan 13th, 2020 20:00,4
Jan 13th, 2020 20:15,2
Jan 13th, 2020 20:30,6
Jan 13th, 2020 20:45,3
Jan 13th, 2020 21:00,2
Jan 13th, 2020 21:15,2
Jan 13th, 2020 21:30,2
Jan 13th, 2020 21:45,4
Jan 13th, 2020 22:00,1
Jan 13th, 2020 22:15,2
Jan 13th, 2020 22:30,0
Jan 13th, 2020 22:45,1
Jan 13th, 2020 23:00,0
Jan 13th, 2020 23:15,2
Jan 13th, 2020 23:30,0
Jan 13th, 2020 23:45,0
Jan 14th, 2020 00:00,1
Jan 14th, 2020 00:15,0
Jan 14th, 2020 00:30,0
Jan 14th, 2020 00:45,1
Jan 14th, 2020 01:00,0
Jan 14th, 2020 01:15,0
Jan 14th, 2020 01:30,0
Jan 14th, 2020 01:45,0
Jan 14th, 2020 02:00,0
Jan 14th, 2020 02:15,0
Jan 14th, 2020 02:30,0
Jan 14th, 2020 02:45,0
Jan 14th, 2020 03:00,0
Jan 14th, 2020 03:15,0
Jan 14th, 2020 03:30,0
Jan 14th, 2020 03:45,0
Jan 14th, 2020 04:00,0
Jan 14th, 2020 04:15,0
Jan 14th, 2020 04:30,0
Jan 14th, 2020 04:45,0
Jan 14th, 2020 05:00,2
Jan 14th, 2020 05:15,0
Jan 14th, 2020 05:30,0
Jan 14th, 2020 05:45,2
Jan 14th, 2020 06:00,0
Jan 14th, 2020 06:15,5
Jan 14th, 2020 06:30,0
Jan 14th, 2020 06:45,1
Jan 14th, 2020 07:00,5
Jan 14th, 2020 07:15,7
Jan 14th, 2020 07:30,16
Jan 14th, 2020 07:45,62
Jan 14th, 2020 08:00,98
Jan 14th, 2020 08:15,55
Jan 14th, 2020 08:30,13
Jan 14th, 2020 08:45,28
Jan 14th, 2020 09:00,10
Jan 14th, 2020 09:15,5
Jan 14th, 2020 09:30,1
Jan 14th, 2020 09:45,9
Jan 14th, 2020 10:00,2
Jan 14th, 2020 10:15,5
Jan 14th, 2020 10:30,4
Jan 14th, 2020 10:45,3
Jan 14th, 2020 11:00,4
Jan 14th, 2020 11:15,10
Jan 14th, 2020 11:30,9
Jan 14th, 2020 11:45,7
Jan 14th, 2020 12:00,4
Jan 14th, 2020 12:15,4
Jan 14th, 2020 12:30,4
Jan 14th, 2020 12:45,3
Jan 14th, 2020 13:00,4
Jan 14th, 2020 13:15,6
Jan 14th, 2020 13:30,4
Jan 14th, 2020 13:45,14
Jan 14th, 2020 14:00,10
Jan 14th, 2020 14:15,9
Jan 14th, 2020 14:30,34
Jan 14th, 2020 14:45,48
Jan 14th, 2020 15:00,25
Jan 14th, 2020 15:15,24
Jan 14th, 2020 15:30,89
Jan 14th, 2020 15:45,31
Jan 14th, 2020 16:00,18
Jan 14th, 2020 16:15,12
Jan 14th, 2020 16:30,13
Jan 14th, 2020 16:45,13
Jan 14th, 2020 17:00,12
Jan 14th, 2020 17:15,23
Jan 14th, 2020 17:30,25
Jan 14th, 2020 17:45,8
Jan 14th, 2020 18:00,8
Jan 14th, 2020 18:15,10
Jan 14th, 2020 18:30,9
Jan 14th, 2020 18:45,5
Jan 14th, 2020 19:00,1
Jan 14th, 2020 19:15,4
Jan 14th, 2020 19:30,2
Jan 14th, 2020 19:45,2
Jan 14th, 2020 20:00,2
Jan 14th, 2020 20:15,5
Jan 14th, 2020 20:30,3
Jan 14th, 2020 20:45,3
Jan 14th, 2020 21:00,1
Jan 14th, 2020 21:15,4
Jan 14th, 2020 21:30,0
Jan 14th, 2020 21:45,1
Jan 14th, 2020 22:00,2
Jan 14th, 2020 22:15,0
Jan 14th, 2020 22:30,1
Jan 14th, 2020 22:45,1
Jan 14th, 2020 23:00,1
Jan 14th, 2020 23:15,0
Jan 14th, 2020 23:30,2
Jan 14th, 2020 23:45,0
Jan 15th, 2020 00:00,0
Jan 15th, 2020 00:15,0
Jan 15th, 2020 00:30,0
Jan 15th, 2020 00:45,0
Jan 15th, 2020 01:00,0
Jan 15th, 2020 01:15,0
Jan 15th, 2020 01:30,0
Jan 15th, 2020 01:45,1
Jan 15th, 2020 02:00,0
Jan 15th, 2020 02:15,0
Jan 15th, 2020 02:30,0
Jan 15th, 2020 02:45,0
Jan 15th, 2020 03:00,0
Jan 15th, 2020 03:15,0
Jan 15th, 2020 03:30,1
Jan 15th, 2020 03:45,0
Jan 15th, 2020 04:00,0
Jan 15th, 2020 04:15,0
Jan 15th, 2020 04:30,0
Jan 15th, 2020 04:45,1
Jan 15th, 2020 05:00,0
Jan 15th, 2020 05:15,1
Jan 15th, 2020 05:30,1
Jan 15th, 2020 05:45,1
Jan 15th, 2020 06:00,1
Jan 15th, 2020 06:15,4
Jan 15th, 2020 06:30,2
Jan 15th, 2020 06:45,3
Jan 15th, 2020 07:00,9
Jan 15th, 2020 07:15,6
Jan 15th, 2020 07:30,19
Jan 15th, 2020 07:45,15
Jan 15th, 2020 08:00,27
Jan 15th, 2020 08:15,38
Jan 15th, 2020 08:30,56
Jan 15th, 2020 08:45,20
Jan 15th, 2020 09:00,14
Jan 15th, 2020 09:15,41
Jan 15th, 2020 09:30,21
Jan 15th, 2020 09:45,11
Jan 15th, 2020 10:00,4
Jan 15th, 2020 10:15,14
Jan 15th, 2020 10:30,3
Jan 15th, 2020 10:45,13
Jan 15th, 2020 11:00,4
Jan 15th, 2020 11:15,4
Jan 15th, 2020 11:30,6
Jan 15th, 2020 11:45,6
Jan 15th, 2020 12:00,6
Jan 15th, 2020 12:15,7
Jan 15th, 2020 12:30,3
Jan 15th, 2020 12:45,1
Jan 15th, 2020 13:00,5
Jan 15th, 2020 13:15,17
Jan 15th, 2020 13:30,26
Jan 15th, 2020 13:45,17
Jan 15th, 2020 14:00,3
Jan 15th, 2020 14:15,11
Jan 15th, 2020 14:30,49
Jan 15th, 2020 14:45,26
Jan 15th, 2020 15:00,20
Jan 15th, 2020 15:15,11
Jan 15th, 2020 15:30,52
Jan 15th, 2020 15:45,22
Jan 15th, 2020 16:00,18
Jan 15th, 2020 16:15,15
Jan 15th, 2020 16:30,14
Jan 15th, 2020 16:45,13
Jan 15th, 2020 17:00,19
Jan 15th, 2020 17:15,26
Jan 15th, 2020 17:30,17
Jan 15th, 2020 17:45,12
Jan 15th, 2020 18:00,7
Jan 15th, 2020 18:15,11
Jan 15th, 2020 18:30,9
Jan 15th, 2020 18:45,9
Jan 15th, 2020 19:00,4
Jan 15th, 2020 19:15,8
Jan 15th, 2020 19:30,2
Jan 15th, 2020 19:45,3
Jan 15th, 2020 20:00,3
Jan 15th, 2020 20:15,3
Jan 15th, 2020 20:30,4
Jan 15th, 2020 20:45,3
Jan 15th, 2020 21:00,5
Jan 15th, 2020 21:15,3
Jan 15th, 2020 21:30,1
Jan 15th, 2020 21:45,3
Jan 15th, 2020 22:00,2
Jan 15th, 2020 22:15,1
Jan 15th, 2020 22:30,2
Jan 15th, 2020 22:45,1
Jan 15th, 2020 23:00,0
Jan 15th, 2020 23:15,3
Jan 15th, 2020 23:30,0
Jan 15th, 2020 23:45,1
Jan 16th, 2020 00:00,1
Jan 16th, 2020 00:15,0
Jan 16th, 2020 00:30,1
Jan 16th, 2020 00:45,0
Jan 16th, 2020 01:00,0
Jan 16th, 2020 01:15,0
Jan 16th, 2020 01:30,0
Jan 16th, 2020 01:45,0
Jan 16th, 2020 02:00,0
Jan 16th, 2020 02:15,2
Jan 16th, 2020 02:30,0
Jan 16th, 2020 02:45,0
Jan 16th, 2020 03:00,0
Jan 16th, 2020 03:15,0
Jan 16th, 2020 03:30,0
Jan 16th, 2020 03:45,0
Jan 16th, 2020 04:00,0
Jan 16th, 2020 04:15,0
Jan 16th, 2020 04:30,0
Jan 16th, 2020 04:45,1
Jan 16th, 2020 05:00,2
Jan 16th, 2020 05:15,0
Jan 16th, 2020 05:30,1
Jan 16th, 2020 05:45,1
Jan 16th, 2020 06:00,0
Jan 16th, 2020 06:15,2
Jan 16th, 2020 06:30,1
Jan 16th, 2020 06:45,6
Jan 16th, 2020 07:00,3
Jan 16th, 2020 07:15,6
Jan 16th, 2020 07:30,9
Jan 16th, 2020 07:45,22
Jan 16th, 2020 08:00,35
Jan 16th, 2020 08:15,22
Jan 16th, 2020 08:30,16
Jan 16th, 2020 08:45,6
Jan 16th, 2020 09:00,6
Jan 16th, 2020 09:15,1
Jan 16th, 2020 09:30,3
Jan 16th, 2020 09:45,4
Jan 16th, 2020 10:00,1
Jan 16th, 2020 10:15,3
Jan 16th, 2020 10:30,0
Jan 16th, 2020 10:45,1
Jan 16th, 2020 11:00,2
Jan 16th, 2020 11:15,1
Jan 16th, 2020 11:30,1
Jan 16th, 2020 11:45,0
Jan 16th, 2020 12:00,3
Jan 16th, 2020 12:15,1
Jan 16th, 2020 12:30,4
Jan 16th, 2020 12:45,2
Jan 16th, 2020 13:00,0
Jan 16th, 2020 13:15,4
Jan 16th, 2020 13:30,6
Jan 16th, 2020 13:45,0
Jan 16th, 2020 14:00,18
Jan 16th, 2020 14:15,4
Jan 16th, 2020 14:30,6
Jan 16th, 2020 14:45,6
Jan 16th, 2020 15:00,5
Jan 16th, 2020 15:15,12
Jan 16th, 2020 15:30,45
Jan 16th, 2020 15:45,20
Jan 16th, 2020 16:00,3
Jan 16th, 2020 16:15,5
Jan 16th, 2020 16:30,8
Jan 16th, 2020 16:45,4
Jan 16th, 2020 17:00,4
Jan 16th, 2020 17:15,19
Jan 16th, 2020 17:30,14
Jan 16th, 2020 17:45,8
Jan 16th, 2020 18:00,8
Jan 16th, 2020 18:15,3
Jan 16th, 2020 18:30,3
Jan 16th, 2020 18:45,5
Jan 16th, 2020 19:00,6
Jan 16th, 2020 19:15,5
Jan 16th, 2020 19:30,2
Jan 16th, 2020 19:45,4
Jan 16th, 2020 20:00,3
Jan 16th, 2020 20:15,2
Jan 16th, 2020 20:30,2
Jan 16th, 2020 20:45,3
Jan 16th, 2020 21:00,0
Jan 16th, 2020 21:15,2
Jan 16th, 2020 21:30,0
Jan 16th, 2020 21:45,1
Jan 16th, 2020 22:00,0
Jan 16th, 2020 22:15,0
Jan 16th, 2020 22:30,1
Jan 16th, 2020 22:45,2
Jan 16th, 2020 23:00,0
Jan 16th, 2020 23:15,0
Jan 16th, 2020 23:30,2
Jan 16th, 2020 23:45,0
Jan 17th, 2020 00:00,0
Jan 17th, 2020 00:15,0
Jan 17th, 2020 00:30,1
Jan 17th, 2020 00:45,1
Jan 17th, 2020 01:00,0
Jan 17th, 2020 01:15,0
Jan 17th, 2020 01:30,0
Jan 17th, 2020 01:45,0
Jan 17th, 2020 02:00,0
Jan 17th, 2020 02:15,0
Jan 17th, 2020 02:30,0
Jan 17th, 2020 02:45,0
Jan 17th, 2020 03:00,0
Jan 17th, 2020 03:15,0
Jan 17th, 2020 03:30,1
Jan 17th, 2020 03:45,0
Jan 17th, 2020 04:00,0
Jan 17th, 2020 04:15,0
Jan 17th, 2020 04:30,0
Jan 17th, 2020 04:45,1
Jan 17th, 2020 05:00,0
Jan 17th, 2020 05:15,0
Jan 17th, 2020 05:30,0
Jan 17th, 2020 05:45,4
Jan 17th, 2020 06:00,1
Jan 17th, 2020 06:15,1
Jan 17th, 2020 06:30,3
Jan 17th, 2020 06:45,2
Jan 17th, 2020 07:00,2
Jan 17th, 2020 07:15,5
Jan 17th, 2020 07:30,17
Jan 17th, 2020 07:45,29
Jan 17th, 2020 08:00,80
Jan 17th, 2020 08:15,44
Jan 17th, 2020 08:30,20
Jan 17th, 2020 08:45,18
Jan 17th, 2020 09:00,7
Jan 17th, 2020 09:15,6
Jan 17th, 2020 09:30,7
Jan 17th, 2020 09:45,5
Jan 17th, 2020 10:00,3
Jan 17th, 2020 10:15,8
Jan 17th, 2020 10:30,6
Jan 17th, 2020 10:45,8
Jan 17th, 2020 11:00,6
Jan 17th, 2020 11:15,3
Jan 17th, 2020 11:30,4
Jan 17th, 2020 11:45,12
Jan 17th, 2020 12:00,4
Jan 17th, 2020 12:15,12
Jan 17th, 2020 12:30,6
Jan 17th, 2020 12:45,6
Jan 17th, 2020 13:00,4
Jan 17th, 2020 13:15,5
Jan 17th, 2020 13:30,7
Jan 17th, 2020 13:45,7
Jan 17th, 2020 14:00,5
Jan 17th, 2020 14:15,11
Jan 17th, 2020 14:30,13
Jan 17th, 2020 14:45,45
Jan 17th, 2020 15:00,26
