Period,January 1 2020 to December 31 2020,
,,
Time,CA Eco-Multi 1 -Davis CA,Total counts on 3rd Street
Jan 8th, 2020 08:00,28
Jan 8th, 2020 08:15,53
Jan 8th, 2020 08:30,70
Jan 8th, 2020 08:45,49
Jan 8th, 2020 09:00,29
Jan 8th, 2020 09:15,41
Jan 8th, 2020 09:30,15
Jan 8th, 2020 09:45,7
Jan 8th, 2020 10:00,8
Jan 8th, 2020 10:15,12
Jan 8th, 2020 10:30,4
Jan 8th, 2020 10:45,4
Jan 8th, 2020 11:00,2
Jan 8th, 2020 11:15,5
Jan 8th, 2020 11:30,4
Jan 8th, 2020 11:45,13
Jan 8th, 2020 12:00,6
Jan 8th, 2020 12:15,9
Jan 8th, 2020 12:30,7
Jan 8th, 2020 12:45,7
Jan 8th, 2020 13:00,5
Jan 8th, 2020 13:15,8
Jan 8th, 2020 13:30,19
Jan 8th, 2020 13:45,11
Jan 8th, 2020 14:00,5
Jan 8th, 2020 14:15,7
Jan 8th, 2020 14:30,37
Jan 8th, 2020 14:45,30
Jan 8th, 2020 15:00,11
Jan 8th, 2020 15:15,11
Jan 8th, 2020 15:30,76
Jan 8th, 2020 15:45,23
Jan 8th, 2020 16:00,17
Jan 8th, 2020 16:15,14
Jan 8th, 2020 16:30,18
Jan 8th, 2020 16:45,13
Jan 8th, 2020 17:00,16
Jan 8th, 2020 17:15,24
Jan 8th, 2020 17:30,17
Jan 8th, 2020 17:45,9
Jan 8th, 2020 18:00,10
Jan 8th, 2020 18:15,7
Jan 8th, 2020 18:30,8
Jan 8th, 2020 18:45,7
Jan 8th, 2020 19:00,5
Jan 8th, 2020 19:15,4
Jan 8th, 2020 19:30,3
Jan 8th, 2020 19:45,9
Jan 8th, 2020 20:00,0
Jan 8th, 2020 20:15,2
Jan 8th, 2020 20:30,5
Jan 8th, 2020 20:45,1
Jan 8th, 2020 21:00,4
Jan 8th, 2020 21:15,1
Jan 8th, 2020 21:30,0
Jan 8th, 2020 21:45,1
Jan 8th, 2020 22:00,0
Jan 8th, 2020 22:15,0
Jan 8th, 2020 22:30,0
Jan 8th, 2020 22:45,1
Jan 8th, 2020 23:00,1
Jan 8th, 2020 23:15,0
Jan 8th, 2020 23:30,0
Jan 8th, 2020 23:45,0
Jan 9th, 2020 00:00,0
Jan 9th, 2020 00:15,0
Jan 9th, 2020 00:30,0
Jan 9th, 2020 00:45,2
Jan 9th, 2020 01:00,0
Jan 9th, 2020 01:15,0
Jan 9th, 2020 01:30,0
Jan 9th, 2020 01:45,0
Jan 9th, 2020 02:00,0
